id,date,username,tweets
1660220150032007169,2023-05-21 09:45:03+00:00,Media Indonesia,"Kasus positif covid-19 di Indonesia kembali bertambah 475 pada Minggu (21/5). Sehingga, total kasus terkonfirmasi positif di Indonesia mencapai 6.802.090 orang.  https://t.co/YG3XPAVYQ7"
1660209690511327233,2023-05-21 09:03:30+00:00,detikHealth,"Indonesia mencatat sebanyak 475 kasus baru COVID-19, Minggu (21/5/2023). DKI Jakarta menyumbang kasus terbanyak dengan jumlah 120. https://t.co/7jI62ZHVNq"
1660204820882509826,2023-05-21 08:44:09+00:00,detikHealth,Kasus COVID-19 di Indonesia pada Minggu (21/5/2023) bertambah 475 kasus baru. Sementara kasus sembuh bertambah 972 dan kematian 3 jiwa. https://t.co/KY4Rropc1t
1660164013752295425,2023-05-21 06:01:59+00:00,Harian Kompas,"Lebaran Betawi 2023 kembali digelar setelah 3 tahun absen akibat Pandemi Covid-19. Gelaran Festival Lebaran Betawi menjadi salah satu dari sekian usaha untuk memperlihatkan budaya Betawi masih ada. #Foto #AdadiKompas

https://t.co/NO74aCbme7"
1660162171362332672,2023-05-21 05:54:40+00:00,Harian Kompas,"Lebaran Betawi 2023 kembali digelar setelah 3 tahun absen akibat Pandemi Covid-19. Gelaran Festival Lebaran Betawi menjadi salah satu dari sekian usaha untuk memperlihatkan budaya Betawi masih ada. #Metro #AdadiKompas

https://t.co/AgOXnjBM3a"
1660161896102891524,2023-05-21 05:53:35+00:00,antaranews.com,Satgas: Pasien COVID-19 di Babel tersisa 26 orang https://t.co/hfk0P877Jy
